run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,configname,DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,datetime,20240121-15:50:22,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,experiment,DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,iterationvars,"$numFailuresUAV1=0, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,iterationvarsf,"numFailuresUAV1=0,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,measurement,"$numFailuresUAV1=0, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,network,DADCA_ACK_n20_u2_a8000m2_0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,processid,34448,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,runnumber,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,runattr,,,seedset,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,itervar,,,numFailuresUAV1,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.numUAVs,2,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_1.mobility.initialLatitude,-15.80691174deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_1.mobility.initialLongitude,-47.92447048deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_2.mobility.initialLatitude,-15.79617763deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_2.mobility.initialLongitude,-47.92544870deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_3.mobility.initialLatitude,-15.83230415deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_3.mobility.initialLongitude,-47.92282204deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_4.mobility.initialLatitude,-15.82788678deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_4.mobility.initialLongitude,-47.92404119deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-ACK-0-20240121-15:50:22-34448,param,,,*.sensors_5.mobility.initialLatitude,-15.82269420deg,,,,,,,
